trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.06, 'e': 0.9790000000000023}",20,0,-73.88748645457673,"{0: 11, 1: 0, 2: 9, 3: 0, 4: 0}",0
43,False,"{'a': 0.06, 'e': 0.9785000000000024}",20,0,-125.27639266440566,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
44,False,"{'a': 0.06, 'e': 0.9780000000000024}",25,0,-134.312933655499,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",0
45,False,"{'a': 0.06, 'e': 0.9775000000000025}",20,16,6.703065988475787,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.06, 'e': 0.9770000000000025}",30,0,-45.762878522368105,"{0: 22, 1: 1, 2: 7, 3: 0, 4: 0}",0
47,False,"{'a': 0.06, 'e': 0.9765000000000026}",25,0,-178.88194469684507,"{0: 11, 1: 4, 2: 7, 3: 1, 4: 2}",0
48,False,"{'a': 0.06, 'e': 0.9760000000000026}",20,0,-81.30491045141689,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
49,False,"{'a': 0.06, 'e': 0.9755000000000027}",20,0,-96.43460631322884,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
50,False,"{'a': 0.06, 'e': 0.9750000000000028}",25,0,-124.70093136821826,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
51,False,"{'a': 0.06, 'e': 0.9745000000000028}",20,0,-101.63907055617608,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
52,False,"{'a': 0.06, 'e': 0.9740000000000029}",20,0,-140.3235762019714,"{0: 11, 1: 3, 2: 2, 3: 2, 4: 2}",0
53,False,"{'a': 0.06, 'e': 0.9735000000000029}",25,0,-91.30493192947391,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
54,False,"{'a': 0.06, 'e': 0.973000000000003}",30,10,-145.3070338365781,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 2}",1
55,False,"{'a': 0.06, 'e': 0.972500000000003}",20,0,-117.96373393145443,"{0: 11, 1: 5, 2: 1, 3: 1, 4: 2}",0
56,False,"{'a': 0.06, 'e': 0.9720000000000031}",25,6,-102.39318571559907,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 2}",1
57,False,"{'a': 0.06, 'e': 0.9715000000000031}",20,0,-120.76680144296833,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
58,False,"{'a': 0.06, 'e': 0.9710000000000032}",25,0,-167.60963407207421,"{0: 11, 1: 4, 2: 8, 3: 0, 4: 2}",0
59,False,"{'a': 0.06, 'e': 0.9705000000000032}",25,0,-107.37752556432194,"{0: 15, 1: 4, 2: 3, 3: 2, 4: 1}",0
60,False,"{'a': 0.06, 'e': 0.9700000000000033}",20,0,-89.90707504826578,"{0: 11, 1: 3, 2: 3, 3: 3, 4: 0}",0
61,False,"{'a': 0.06, 'e': 0.9695000000000034}",25,0,-158.19532148080455,"{0: 13, 1: 3, 2: 6, 3: 1, 4: 2}",0
62,False,"{'a': 0.06, 'e': 0.9690000000000034}",30,0,-131.92502774903272,"{0: 19, 1: 2, 2: 6, 3: 2, 4: 1}",0
63,False,"{'a': 0.06, 'e': 0.9685000000000035}",25,0,-238.27479791835603,"{0: 13, 1: 0, 2: 5, 3: 4, 4: 3}",0
64,False,"{'a': 0.06, 'e': 0.9680000000000035}",25,0,-106.754062398522,"{0: 14, 1: 2, 2: 7, 3: 2, 4: 0}",0
65,False,"{'a': 0.06, 'e': 0.9675000000000036}",20,0,-82.79297359523794,"{0: 12, 1: 0, 2: 6, 3: 2, 4: 0}",0
66,False,"{'a': 0.06, 'e': 0.9670000000000036}",20,0,-70.7577189372183,"{0: 9, 1: 6, 2: 5, 3: 0, 4: 0}",0
67,False,"{'a': 0.06, 'e': 0.9665000000000037}",20,2,-86.25052159870499,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 2}",1
68,False,"{'a': 0.06, 'e': 0.9660000000000037}",25,0,-134.19786102916106,"{0: 15, 1: 1, 2: 7, 3: 0, 4: 2}",0
69,False,"{'a': 0.06, 'e': 0.9655000000000038}",30,0,-174.61618347999658,"{0: 19, 1: 3, 2: 4, 3: 1, 4: 3}",0
70,False,"{'a': 0.06, 'e': 0.9650000000000039}",20,0,-116.73431761982489,"{0: 7, 1: 6, 2: 6, 3: 0, 4: 1}",0
71,False,"{'a': 0.06, 'e': 0.9645000000000039}",20,0,-92.26244476373526,"{0: 12, 1: 5, 2: 0, 3: 2, 4: 1}",0
72,False,"{'a': 0.06, 'e': 0.964000000000004}",20,0,-133.06067193317568,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
73,False,"{'a': 0.06, 'e': 0.963500000000004}",30,0,-112.89069095808998,"{0: 18, 1: 5, 2: 5, 3: 1, 4: 1}",0
74,False,"{'a': 0.06, 'e': 0.9630000000000041}",25,0,-79.71015922963686,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
75,False,"{'a': 0.06, 'e': 0.9625000000000041}",20,0,-120.18106192115,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
76,False,"{'a': 0.06, 'e': 0.9620000000000042}",20,0,-16.74594472995788,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
