trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
285,False,"{'a': 0.06, 'e': 0.02956561979945413}",20,0,24.543369056682003,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
286,False,"{'a': 0.06, 'e': 0.029514066805047763}",20,0,25.872043853953627,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
287,False,"{'a': 0.06, 'e': 0.029462782549439483}",25,0,10.52145766650339,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
288,False,"{'a': 0.06, 'e': 0.029411764705882353}",20,0,5.829356199002558,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
289,False,"{'a': 0.06, 'e': 0.029361010975735173}",20,0,20.592581961674465,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
290,False,"{'a': 0.06, 'e': 0.02931051908802746}",20,0,29.69072532174698,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
291,False,"{'a': 0.06, 'e': 0.029260286799032642}",20,0,23.877240559177693,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
292,False,"{'a': 0.06, 'e': 0.0292103118918493}",20,14,-3.160803769118372,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
293,False,"{'a': 0.06, 'e': 0.029160592175990215}",25,0,5.239928946779335,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
294,False,"{'a': 0.06, 'e': 0.0291111254869791}",20,14,12.725218634024525,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
295,False,"{'a': 0.06, 'e': 0.02906190968595482}",20,0,26.02708177003521,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
296,False,"{'a': 0.06, 'e': 0.029012942659282972}",20,0,31.59712982782588,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
297,False,"{'a': 0.06, 'e': 0.028964222318174613}",25,0,38.47630446534207,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
298,False,"{'a': 0.06, 'e': 0.02891574659831201}",30,0,19.649907931762424,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",0
299,False,"{'a': 0.06, 'e': 0.028867513459481284}",20,0,26.106907976674428,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
300,False,"{'a': 0.06, 'e': 0.02881952088521175}",20,0,33.4166283737005,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
301,False,"{'a': 0.06, 'e': 0.0287717668824218}",25,0,31.373423935493367,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
302,False,"{'a': 0.06, 'e': 0.0287242494810713}",25,0,33.90131466553236,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
303,False,"{'a': 0.06, 'e': 0.028676966733820218}",30,0,43.9693117137176,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
304,False,"{'a': 0.06, 'e': 0.028629916715693413}",20,0,-1.1048758462518955,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
305,False,"{'a': 0.06, 'e': 0.028583097523751475}",20,0,31.100324821671034,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
306,False,"{'a': 0.06, 'e': 0.02853650727676748}",20,0,18.21120463542071,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
307,False,"{'a': 0.06, 'e': 0.028490144114909487}",25,0,20.388407007953884,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
308,False,"{'a': 0.06, 'e': 0.028444006199428714}",25,0,24.136576615345422,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
309,False,"{'a': 0.06, 'e': 0.02839809171235324}",20,0,-14.109871061045766,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
310,False,"{'a': 0.06, 'e': 0.028352398856187136}",20,2,26.880945524977925,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
311,False,"{'a': 0.06, 'e': 0.02830692585361489}",20,0,25.255452909351856,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
312,False,"{'a': 0.06, 'e': 0.028261670947211076}",30,0,11.893039678882813,"{0: 28, 1: 0, 2: 1, 3: 1, 4: 0}",0
313,False,"{'a': 0.06, 'e': 0.028216632399155017}",20,0,-13.579774621215295,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
314,False,"{'a': 0.06, 'e': 0.02817180849095055}",30,0,27.998961142880773,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
315,False,"{'a': 0.06, 'e': 0.0281271975231506}",20,0,26.809697492944604,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
316,False,"{'a': 0.06, 'e': 0.02808279781508652}",20,0,27.283702555553646,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
317,False,"{'a': 0.06, 'e': 0.028038607704602217}",20,0,-15.781711721399507,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
318,False,"{'a': 0.06, 'e': 0.027994625547792716}",35,0,32.47980893786422,"{0: 34, 1: 0, 2: 1, 3: 0, 4: 0}",0
319,False,"{'a': 0.06, 'e': 0.02795084971874737}",20,0,-5.566630901169753,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
320,False,"{'a': 0.06, 'e': 0.02790727860929738}",20,0,26.700908368667402,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
321,False,"{'a': 0.06, 'e': 0.02786391062876764}",25,0,27.59812990832821,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
322,False,"{'a': 0.06, 'e': 0.027820744203732862}",25,0,26.1757556090185,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
323,False,"{'a': 0.06, 'e': 0.027777777777777776}",30,0,-16.61643424178942,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 1}",0
324,False,"{'a': 0.06, 'e': 0.027735009811261455}",25,12,23.493497664619127,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
325,False,"{'a': 0.06, 'e': 0.027692438781085564}",35,0,47.01768548979428,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
326,False,"{'a': 0.06, 'e': 0.02765006318046655}",35,0,44.218900522127846,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
327,False,"{'a': 0.06, 'e': 0.027607881518711633}",25,7,22.405439570758507,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
328,False,"{'a': 0.06, 'e': 0.027565892320998563}",20,0,30.002734898950727,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
329,False,"{'a': 0.06, 'e': 0.027524094128159017}",20,0,25.878698959815583,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
330,False,"{'a': 0.06, 'e': 0.027482485496465633}",25,0,28.307593194124067,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
331,False,"{'a': 0.06, 'e': 0.027441064997422587}",25,0,24.863111620824533,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
332,False,"{'a': 0.06, 'e': 0.02739983121755955}",20,0,14.014710429564877,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
333,False,"{'a': 0.06, 'e': 0.027358782758229137}",25,0,36.566247379506144,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
334,False,"{'a': 0.06, 'e': 0.027317918235407655}",25,0,27.67007797004898,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
335,False,"{'a': 0.06, 'e': 0.02727723627949905}",30,0,37.805548951991135,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
336,False,"{'a': 0.06, 'e': 0.027236735535142165}",25,0,33.83429361856368,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
337,False,"{'a': 0.06, 'e': 0.02719641466102106}",25,0,19.6712997292523,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
338,False,"{'a': 0.06, 'e': 0.027156272329678422}",25,0,35.51818845921078,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
339,False,"{'a': 0.06, 'e': 0.02711630722733202}",25,0,36.35885109315486,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
340,False,"{'a': 0.06, 'e': 0.027076518053694116}",30,0,-6.140306258640458,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
341,False,"{'a': 0.06, 'e': 0.02703690352179376}",20,0,26.06792925016331,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
342,False,"{'a': 0.06, 'e': 0.02699746235780194}",25,0,40.85086849529598,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
343,False,"{'a': 0.06, 'e': 0.026958193300859603}",20,0,18.75215199247315,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
344,False,"{'a': 0.06, 'e': 0.026919095102908276}",30,0,41.070576815476535,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
345,False,"{'a': 0.06, 'e': 0.026880166528523517}",30,0,1.1604487729165016,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
346,False,"{'a': 0.06, 'e': 0.02684140635475095}",30,0,44.806445579214234,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
347,False,"{'a': 0.06, 'e': 0.02680281337094487}",20,0,1.4053239164739424,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
348,False,"{'a': 0.06, 'e': 0.02676438637860946}",20,0,-13.543920410858396,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
349,False,"{'a': 0.06, 'e': 0.026726124191242435}",25,10,20.556032438946705,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
350,False,"{'a': 0.06, 'e': 0.02668802563418119}",20,0,25.136963438852117,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
351,False,"{'a': 0.06, 'e': 0.026650089544451302}",20,0,23.988303121613413,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
352,False,"{'a': 0.06, 'e': 0.026612314770617474}",30,0,43.73249987628026,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
353,False,"{'a': 0.06, 'e': 0.026574700172636696}",30,0,35.66450698674052,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
354,False,"{'a': 0.06, 'e': 0.026537244621713762}",20,0,25.755712908999445,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
355,False,"{'a': 0.06, 'e': 0.026499947000159}",25,0,30.58397331232509,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
356,False,"{'a': 0.06, 'e': 0.026462806201248155}",20,0,23.427933442109797,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
357,False,"{'a': 0.06, 'e': 0.026425821129084495}",20,0,25.539126844626153,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
358,False,"{'a': 0.06, 'e': 0.026388990698462976}",20,0,12.12531171226338,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
359,False,"{'a': 0.06, 'e': 0.026352313834736494}",20,0,25.178171613258026,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
360,False,"{'a': 0.06, 'e': 0.02631578947368421}",25,0,36.810930827674284,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
361,False,"{'a': 0.06, 'e': 0.026279416561381837}",20,0,26.54925744653432,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
